video_id, title,url, is_japanese_caption, has_checked_caption
hKBOoPfMvLc,Korea: Admiral Yi - Be Like a Mountain - Extra History - #2,https://www.youtube.com/watch?v=hKBOoPfMvLc,true,true,
p97Xa6aB2jA,Korea: Admiral Yi - The Bright Moonlight of Hansando - Extra History - #3,https://www.youtube.com/watch?v=p97Xa6aB2jA,true,true,
QTan6eDphCk,Korea: Admiral Yi - Those Who Seek Death Shall Live - Extra History - #4,https://www.youtube.com/watch?v=QTan6eDphCk,false,true,
39Gsx6PaxiY,Korea: Admiral Yi - Martial Lord of Loyalty - Extra History - #5,https://www.youtube.com/watch?v=39Gsx6PaxiY,false,true,
0Pf6PMSB8uo,Middle East: Odenathus - Ghosts of the Desert - Extra History,https://www.youtube.com/watch?v=0Pf6PMSB8uo,false,true,
v-GgknZYu3s,Middle East: Palmyra Today - Afterword - Extra History,https://www.youtube.com/watch?v=v-GgknZYu3s,false,true,
C3yCzHIbkgA,Korea: Admiral Yi - Lies - Extra History,https://www.youtube.com/watch?v=C3yCzHIbkgA,false,true,
OYz0y5xUqmk,♫ Admiral Yi: Drums of War - Sean and Dean Kiner - Extra History Music,https://www.youtube.com/watch?v=OYz0y5xUqmk,false,true,
TLpzHHbFrHY,England: The Broad Street Pump - You Know Nothing John Snow - Extra History - #1,https://www.youtube.com/watch?v=TLpzHHbFrHY,true,true,
1jlsyucUwpo,England: The Broad Street Pump - Epidemiology Begins! - Extra History - #2,https://www.youtube.com/watch?v=1jlsyucUwpo,true,true,
9NVT6iZP2qg,England: The Broad Street Pump - Map of the Blue Death - Extra History - #3,https://www.youtube.com/watch?v=9NVT6iZP2qg,true,true,
cba7di0eL8I,The Sanitary Movement - A John Snow Epilogue - Extra History,https://www.youtube.com/watch?v=cba7di0eL8I,true,true,
rg_7q_FPjxQ,England: The Broad Street Pump - Lies - Extra History,https://www.youtube.com/watch?v=rg_7q_FPjxQ,false,true,
doteMFHPv18,♫ The Broad Street Pump Theme - Sean and Dean Kiner - Extra History Music,https://www.youtube.com/watch?v=doteMFHPv18,false,true,
xT9BTuBtCJs,Mary Seacole - A Bold Front to Fortune - Extra History - #1,https://www.youtube.com/watch?v=xT9BTuBtCJs,true,true,
eADLWvWqK5Q,Mary Seacole - Mother Seacole in the Crimea - Extra History - #2,https://www.youtube.com/watch?v=eADLWvWqK5Q,true,true,
oUtEJtBeCaQ,Justinian & Theodora - The Cracks Begin to Spread - Extra History - #7,https://www.youtube.com/watch?v=oUtEJtBeCaQ,false,true,
EO9DuuhNEoE,Justinian & Theodora - Bad Faith - Extra History - #8,https://www.youtube.com/watch?v=EO9DuuhNEoE,false,true,
aN1imOXR4b4,Justinian & Theodora - Justinian's Rival - Extra History - #9,https://www.youtube.com/watch?v=aN1imOXR4b4,false,true,
RwXAGiIVsgQ,Theodora - This is My Empire - Extra History - #10,https://www.youtube.com/watch?v=RwXAGiIVsgQ,false,true,
C-UvLZSK3CI,The Battle of Kursk - Operation Barbarossa - Extra History - #1,https://www.youtube.com/watch?v=C-UvLZSK3CI,false,true,
LSjFUOA2oZM,On World War II and Nazi Symbolism: A Note from Extra History,https://www.youtube.com/watch?v=LSjFUOA2oZM,false,true,
I6vn6uRlPL8,Justinian & Theodora - The Emperor Who Never Sleeps - Extra History - #11,https://www.youtube.com/watch?v=I6vn6uRlPL8,false,true,
6oHr-zd6Bew,Justinian - Caesar I was and am Justinian - Extra History - #12,https://www.youtube.com/watch?v=6oHr-zd6Bew,false,true,
QdK2Sim_ZRU,The Battle of Kursk - Preparations - Extra History - #2,https://www.youtube.com/watch?v=QdK2Sim_ZRU,false,true,
wNs4Lklnky4,Justinian & Theodora - Lies 2 - Extra History,https://www.youtube.com/watch?v=wNs4Lklnky4,false,true,
kSWO0JOKmWA,♫ Justinian & Theodora: Monogenes Pais - Sean and Dean Kiner - Extra History Music,https://www.youtube.com/watch?v=kSWO0JOKmWA,false,true,
JGZSkLq3Eng,Suleiman the Magnificent - Hero of All That Is - Extra History - #1,https://www.youtube.com/watch?v=JGZSkLq3Eng,true,true,
pNYIZJew4oE,Suleiman the Magnificent - Master of the World - Extra History - #2,https://www.youtube.com/watch?v=pNYIZJew4oE,true,true,
6udnj7PvZZ8,The Battle of Kursk- Operation Citadel - Extra History - #3,https://www.youtube.com/watch?v=6udnj7PvZZ8,false,true,
DqN0EFFUA6w,Suleiman the Magnificent - Sultan of Sultans - Extra History - #3,https://www.youtube.com/watch?v=DqN0EFFUA6w,true,true,
rQlFi9s_e2s,The Battle of Kursk - Control of the Eastern Front - Extra History - #4,https://www.youtube.com/watch?v=rQlFi9s_e2s,false,true,
JH4jcSFOx70,Suleiman the Magnificent - The Shadow of God - Extra History - #4,https://www.youtube.com/watch?v=JH4jcSFOx70,true,true,
NYv-GC8DgMk,WW2: The Resource War - Arsenal of Democracy - Extra History - #1,https://www.youtube.com/watch?v=NYv-GC8DgMk,true,true,
S7p4AcTBG7o,Suleiman the Magnificent - Slave of God - Extra History - #5,https://www.youtube.com/watch?v=S7p4AcTBG7o,false,true,
N5PTeDe4jTQ,WW2: The Resource War - Lend-Lease - Extra History - #2,https://www.youtube.com/watch?v=N5PTeDe4jTQ,false,true,
5gTjfYqiBqg,Suleiman the Magnificent - Custodian of the Two Holy Mosques - Extra History - #6,https://www.youtube.com/watch?v=5gTjfYqiBqg,false,true,
OvDsvHNvVZw,WW2: The Resource War - The Engines of War - Extra History - #3,https://www.youtube.com/watch?v=OvDsvHNvVZw,false,true,
ltT_CvI5wv0,Suleiman the Magnificent - Lies - Extra History,https://www.youtube.com/watch?v=ltT_CvI5wv0,false,true,
38pQQZj1HWM,♫ Suleiman the Magnificent: The Lawgiver - Sean and Dean Kiner - Extra History Music,https://www.youtube.com/watch?v=38pQQZj1HWM,false,true,
zOXbYAd6TLo,WW2: The Resource War - Strategic Bombing - Extra History - #4,https://www.youtube.com/watch?v=zOXbYAd6TLo,false,true,
E1ZZeCDGHJE,Early Christian Schisms - Before Imperium - Extra History - #1,https://www.youtube.com/watch?v=E1ZZeCDGHJE,false,true,
hZsZXHPDwsw,Early Christian Schisms - The Woes of Constantine - Extra History - #2,https://www.youtube.com/watch?v=hZsZXHPDwsw,false,true,
6d2lOQpuqd4,Early Christian Schisms - The Council of Nicaea - Extra History - #3,https://www.youtube.com/watch?v=6d2lOQpuqd4,false,true,
